char|kMandarin|kDefinition|kSimplifiedVariant|kTraditionalVariant|kSemanticVariant|kSpecializedSemanticVariant|kFrequency|kRSKangXi|kTotalStrokes|kFourCornerCode|kCangjie|kCangjieCh|kHanYu|kKangXi|kPhonetic|radical|hsk|rth|rthkeyword|rsh|rshkeyword
栽|zai1|to cultivate, plant; to care for plants|||||5||10|4395.0|JID|十戈木|21193.060|0524.120|239*|75|6|1635|sow|1663|sow
栾|luan2|name of tree; a part of cornice||欒|||5||10|0090|YCD|卜金木|21205.030|0524.130|833|75|||||
栿|fu2||||||||10||DOIK|木人戈大|21200.080|0524.140||75|||||
桀|jie2|chicken roost; ancient emperor|||||||10|2590.4|NQD|弓手木|21203.050|0524.150|631|75|||||
桁|heng2|cross-beams of roof|||||||10|4192.1|DHON|木竹人弓|21201.090|0525.010|435|75|||||
桂|gui4|cassia or cinnamon|||||5||10|4491.4|DGG|木土土|21193.050|0525.020|710|75||1547|cassia-bark tree|1573|cassia-bark tree
桃|tao2|peach; marriage; surname|||||4||10|4291.3|DLMO|木中一人|21202.070|0525.040|1221|75|5|224|peach|238|peach
桄|guang1|a coir-palm|||||||10|4991.1|DFMU|木火一山|21198.040|0525.050|749|75|||||
桅|wei2|mast of ship|||||||10|4791.2|DNMU|木弓一山|21203.010|0525.060|959|75|||||
框|kuang1|frame; framework; door frame|||||5||10|4191.1|DSMG|木尸一土|21192.050|0525.070|505|75|6|2616|rectangular frame|2674|rectangular frame
桇|ru2||||||||10||VRD|女口木|21208.060|0525.080||75|||||
案|an4|table, bench; legal case|||||2||10|3090.4|JVD|十女木|21207.080|0525.090|995|75|4|201|case|214|case
桉|an1|eucalyptus|||||||10|4394.4|DJV|木十女|21207.070|0525.100|995|75|||||
桊|juan4||||||||10|9090|FQD|火手木|21202.040|0525.110||75|||||
桋|yi2|tree|||||||10|4593.2|DKN|木大弓|21197.050|0525.120|1542|75|||||
桌|zhuo1|table, desk, stand|||棹|棹|4||10|2190.4|YAD|卜日木|21198.010|0525.130|108|75|1|211|table|224|table
桍|ku1||||||||10|4492.7|DKMS|木大一尸|21197.010|0525.140||75|||||
桎|zhi4|fetters, shackles, handcuffs|||||||10|4191.4|DMIG|木一戈土|21197.080|0525.150|141|75|||||
桏|qiong2||||||||9|4792.7|DMNL|木一弓中|21177.020|0525.160||75|||||
桐|tong2|name applied various trees|||||5||10|4792.0|DBMR|木月一口|21198.070|0525.170|1407|75||1552|paulownia|1571|paulownia
桑|sang1|mulberry tree; surname|||||4||10|1790.4|EEED|水水水木|21209.030|0526.010|1232|75|6|1841|mulberry tree|2751|mulberry tree
桒|sang1||||||||9||JTD|十廿木|21176.120|0526.040||75|||||
桓|huan2|variety of tree; surname|||||5||10|4191.6|DMAM|木一日一|21195.060|0526.050|1467|75|||||
桔|ju2|Chinese bellflower; well-swept; the inner fibers of corn-stalks|||||5||10|4496.1|DGR|木土口|21194.030|0526.080|582|75|5||||
桕|jiu4|tallow tree|||||||10|4797|DHX|木竹難|21200.090|0526.090|593|75|||||
桖|xue4||||||||10||DHBT|木竹月廿|21201.070|0526.100||75|||||
桗|duo4||||||||10||DNSD|木弓尸木|21208.050|0526.110||75|||||
桘|zhui4||||||||10||DHRR|木竹口口|21201.060|0526.120||75|||||
桙|yu2||||||||10|4395.0|DIHQ|木戈竹手|21209.020|0526.150||75|||||
桚|zan3|press, squeeze hard; force|||||||10||DVVN|木女女弓|21209.040|0526.211|815|75|||||
桜|ying1|cherry, cherry blossom|||||||10|4294.4 4994.4|DFV|木火女|21207.051|0526.211||75|||||
桝|jie2|variant of 枡 U+67A1, a measuring box|||||||10|4590.0|DNIQ|木弓戈手|21203.051|0526.211||75|||||
桞|liu3||||||||9||DNIL|木弓戈中|21187.041|0526.211||75|||||
桟|zhan4|a crosspiece, cleat, frame, door bolt; shelf|||||||10|4395.0|DIQ|木戈手|21192.061|0526.211||75|||||
桠|ya1|the forking branch of a tree||椏|||5||10|4191|DMTC|木一廿金|21195.041|0526.211||75|||||
桡|rao2|bent or twisted piece of wood||橈|||||10|4591|XDJPU|難木十心山|21197.070|0526.211||75|||||
桢|zhen1|hardwood; supports, posts||楨|||||10|4198|DYBO|木卜月人|21198.020|0526.211||75|||||
档|dang4|shelf; frame, crosspiece||檔|||2||10|4997.7|DFSM|木火尸一|21198.050|0526.211||75|5|||948|files
桤|qi1|alder||榿|||||10|4291|DUSU|木山尸山|21199.060|0526.211||75|||||
桥|qiao2|bridge; beam, crosspiece||橋|||4||10|4292|DHKL|木竹大中|21200.040|0526.211||75|4|||442|bridge
桦|hua4|type of birch||樺|||5||10|4494|DOPJ|木人心十|21201.050|0526.211||75|||||
桧|gui4|Chinese cypress, Chinese juniper||檜|||||10|4896.6|DOMI|木人一戈|21202.050|0526.211||75|||||
桨|jiang3|oar, paddle||槳|||5||10|3790|LND|中弓木|21205.040|0526.211||75|6|||2468|oar
桩|zhuang1|stake, post; affair, matter||樁|||5||10|4091|DIG|木戈土|21205.060|0526.211|250 323|75||||1789|stake
桪|xun2|mythical giant tree||樳|||||10||XDSMI|難木尸一戈|21208.011|0526.211||75|||||
桫|suo1|horse chestnut|||||||11|4992.0|DEFH|木水火竹|21220.030|0526.220||75|||||
桬|sha1|pear and other trees|||||||11||EHD|水竹木|21220.040|0526.230||75|||||
桭|zhen1|eaves; space between two pillars|||||||11|4193.2|DMMV|木一一女|21212.010|0526.240||75|||||
桮|bei1|cup, glass, tumbler|||||||11|4196.9|DMFR|木一火口|21212.030|0526.250|363|75|||||
桯|ting1|table|||||||11|4691.4|DRHG|木口竹土|21214.070|0526.260|204|75|||||
桰|kuo4||||||||11||DHPR|木竹心口|21218.020|0527.020|736|75|||||
桱|jing4||||||||11|4191.1|DMVM|木一女一|21212.080|0527.030||75|||||
桲|po5||||||||11|4494.7|DJBD|木十月木|21210.090|0527.040||75|||||
桳|ben4||||||||11||DIKJ|木戈大十|21222.050|0527.050||75|||||
桴|fu2|raft; drum stick; ridge pole|||||||11|4294.7|DBND|木月弓木|21217.080|0527.060|378|75|||||
桵|rui2||||||||11|4294.4|DBV|木月女|21217.090|0527.090||75|||||
桶|tong3|pail, bucket, tub; cask, keg|||||5||11|4792.7|DNIB|木弓戈月|21222.060|0527.100|1660|75|4|2376|bucket|2443|bucket
桷|jue2|rafter; malus toringo|||||||11|4792.7|DNBG|木弓月土|21218.050|0527.120|647|75|||||
桸|xi1||||||||11|4492.7|DKKB|木大大月|21217.020|0527.130||75|||||
桹|lang2|palm|||||||11|4393.2|DIAV|木戈日女|21221.040|0527.140|796|75|||||
桺|liu3||||||||11||DMLS|木一中尸|21212.020|0527.150|783|75|||||
桻|feng1||||||||11|4795.4|DHEJ|木竹水十|21218.060|0527.160||75|||||
桼|qi1|the varnish tree; lacquer, varnish, paint|||㯃漆||||11|4023.2|DOE|木人水|21217.040|0527.170|76|75|||||
桽|wen3||||||||11|4010.4|DOOG|木人人土|21217.060|0527.200||75|||||
桾|jun1||||||||11|4796.7|DSKR|木尸大口|21221.050|0527.210||75|||||
桿|gan3|pole; stick; club; pole as unit|杆||||5||11|4694.1|DAMJ|木日一十|21213.020|0527.230|502|75||2578|shaft||
梀|su4||||||||11|4599.6|DDL|木木中|21211.010|0527.240||75|||||
梁|liang2|bridge; beam; rafters; surname|||樑||4||11|3390.4|EID|水戈木|21220.050|0528.010|797|75|6|3005|Liang|2037|roof beam
梂|qiu2|acorn cup|||||||11|4393.2|DIJE|木戈十水|21210.080|0528.040||75|||||
梃|ting3|a club; a stalk; straight|||||||10|4294.1|DNKG|木弓大土|21200.020|0528.050|1345|75|||||
梄|you3|a soft wood; to lay in stores of firewood|||||||11||DMCW|木一金田|21211.030|0528.070|1513|75|||||
梅|mei2|plums; prunes; surname|||||3||11|4895.7|DOWY|木人田卜|21215.130|0528.080|927|75||432|small plum|468|small plum
梆|bang1|watchman's rattle|||||||10|4792.7|DQJL|木手十中|21192.060|0528.110|1080|75|||||
梇|long4||||||||11|4194.1|DMGT|木一土廿|21209.050|0528.120||75|||||
梈|peng1||||||||11||DYRN|木卜口弓|21219.010|0528.130||75|||||
梉|zhuang1||||||||11|4491.0|DVMG|木女一土|21222.030|0528.140||75|||||
梊|di4|squeeze out of; extract|||||||11|5290.4|DLD|木中木|21210.010|0528.150||75|||||
梋|xuan1||||||||11|4692.7|DRB|木口月|21214.040|0528.170||75|||||
梌|tu2||||||||11|4899.4|DOMD|木人一木|21216.090|0528.180|1610|75|||||
梍|zao4|tree name|||||||11|4691.1|XDHAP|難木竹日心|21216.040|0528.190||75|||||
梎|ao1|sickle handle, branch|||||||11||DHAP|木竹日心|21216.050|0528.200||75|||||
梏|gu4|handcuffs, manacles, fetters|||||||11|4496.1|DHGR|木竹土口|21215.080|0528.210|642|75|||||
梐|bi4|fence|||||||11|4191.4|DPPG|木心心土|21212.070|0528.220|1030A|75|||||
梑|di2||||||||11|4998.0|DKHF|木大竹火|21218.040|0528.230||75|||||
梒|han2||||||||11|4896.2|DOIR|木人戈口|21217.100|0528.240||75|||||
梓|zi3|catalpa ovata|||||5||11|4094.1|DYTJ|木卜廿十|21219.030|0528.250|242 1124|75|||||
梔|zhi1|gardenia|栀||||||11|4291.7|DHMU|木竹一山|21216.060|0529.010||75|||||
梕|ren4||||||||11||DSIP|木尸戈心|21222.040|0529.020||75|||||
梖|bei4|a palm-tree|||||||11|4698.0|DBUC|木月山金|21213.040|0529.030||75|||||
梗|geng3|stem of flower, branch of plant|||||||11|4194.6|DMLK|木一中大|21210.120|0529.040|578|75||||1881|stalk
梘|jian3|bamboo tube, wooden peg; spout|枧||||||11||DBUU|木月山山|21214.010|0529.080|621|75|||||
梙|huan4||||||||11||DLL|木中中|21214.050|0529.090||75|||||
梚|wan3||||||||11||XDNAU|難木弓日山|21218.030|0529.100||75|||||
梛|nuo2||||||||10|4792.7|DSQL|木尸手中|21208.040|0529.110||75|||||
梜|jia1|chopstick|||||||11|5403.8|DKOO|木大人人|21212.040|0529.120|550|75|||||
條|tiao2|clause, condition; string, stripe|条||条糶||3||10|2829.4|OLOD|人中人木|10176.020|0529.140|1352 1510|75||744|strip||
梞|ji4||||||||11||DSUP|木尸山心|21222.020|0529.150||75|||||
梟|xiao1|an owl; thus, something evil|枭||鴞||5||11|2790.4|HAYD|竹日卜木|21217.110|0529.160|479 932 982 1505|75|||||
梠|lü3|a small beam supporting the rafters at the eaves|||||||10|4696.0|DRHR|木口竹口|21199.020|0530.010|840|75|||||
梡|hun2|tray for carrying sacrificial meat|||||||11|4391.1|DJMU|木十一山|21221.020|0530.040|1624|75|||||
梢|shao1|pointed tip of something long like a branch; rudder|||||5||11|4992.7|DFB|木火月|21213.010|0530.050|220|75|6|1551|treetops|1568|treetops
梣|cen2||||||||11|4292.7|DUON|木山人弓|21215.030|0530.060||75|||||
梤|fen2||||||||11|4292.7|DUCH|木山金竹|21215.040|0530.070||75|||||
梥|song1||||||||11||JCID|十金戈木|21221.030|0530.080||75|||||
梦|meng4|dream; visionary; wishful||夢|夢||2||11|4420.7|DDNI|木木弓戈|20863.180|0530.100|776|75|4|||205|dream
梧|wu2|Chinese parasoltree, Sterculia platanifolia|||||5||11|4196.1|DMMR|木一一口|21211.020|0530.110|947|75|||||
梨|li2|pear; opera; cut, slash|||棃||5||11|2290.4|HND|竹弓木|21215.100|0530.120|790|75|5|1966|pear|2020|pear
梩|li2|a hod, a basket in which to carry earth|||||||11|4691.4|DWG|木田土|21213.030|0530.130|789|75|||||
梪|dou4||||||||11|4191.8|DMRT|木一口廿|21211.040|0530.140||75|||||
梫|qin3||||||||11|4794.7|DSME|木尸一水|21221.070|0530.150||75|||||
梬|ying3||||||||11|4592.7|DLWS|木中田尸|21214.060|0530.160|1057|75|||||
梭|suo1|weaver's shuttle; go to and fro|||||5||11|4394.7|DICE|木戈金水|21222.070|0530.170|313|75||2403|shuttle|2475|shuttle
梮|ju1|snowshoes|||||||11|4792.7|DSSR|木尸尸口|21222.010|0530.180|682|75|||||
梯|ti1|ladder, steps, stairs; lean|||||4||11|4892.7|DCNH|木金弓竹|21220.020|0531.020|1310|75|3|2223|ladder|2281|ladder
械|xie4|weapons; implements, instruments|||||4||11|4395.0|DIT|木戈廿|21209.060|0531.030|540|75|6|1830|weapon|1869|weapon
梱|kun3|doorsill; doorjamb|||||||11|4690.0|DWD|木田木|21214.030|0531.040|731|75|||||
梲|zhuo2|joist; cane, club; king-post|棁||棳||||11|4891.6|DCRU|木金口山|21217.031|0531.060|1392|75|||||
梳|shu1|comb; brush|||||5||11|4091.3|DYIU|木卜戈山|21219.060|0531.070|779|75|5|633|comb|685|comb
梴|chan1|long|||||||10|4294.1|DNKM|木弓大一|21201.020|0531.080|1578|75|||||
梵|fan4|Buddhist, Sanskrit|||||5||11|4421.7|DDHNI|木木竹弓戈|21210.050|0531.090|342|75|||||
梶|wei3|oar, shaft|||||||11|4791.4|DSHU|木尸竹山|21221.090|0531.100||75|||||
梷|jing4||||||||11||YED|卜水木|21212.090|0531.131||75|||||
梸|li2||||||||11||DHDN|木竹木弓|21215.090|0531.131||75|||||
梹|bin1|the areca-nut; the betel-nut|||檳||||11|4298.1|DOMC|木人一金|21216.020|0531.131|1018 1052|75|||||
梺|xia4||||||||11|4423.1|DDMY|木木一卜|21210.041|0531.131||75|||||
梻|fo2|a tree whose branches are placed on Buddhist graves|||||||11||DOLN|木人中弓|21216.051|0531.131||75|||||
梼|tao2|block of wood; blockhead; stupid||檮|||||11|4494.1|DQKI|木手大戈|21209.041|0531.131||75|||||
梽|zhi4||||||||11||DGP|木土心|21210.030|0531.131||75|||||
梾|lai2|||棶|||||11||DDT|木木廿|21212.061|0531.131||75|||||
梿|lian2|||槤|||||11||DYKQ|木卜大手|21212.062|0531.131||75|||||
检|jian3|check; examine||檢|||3||11|4891|DOMM|木人一一|21217.030|0531.131||75|3|||1435|examine
棁|zhuo1|joist; cane||梲|||||11||XDCRU|難木金口山|21219.070|0531.131|1392|75|||||
棂|ling2|carved or patterned window sills||欞|||||11|4798|DSMF|木尸一火|21221.060|0531.131||75|||||
棃|li2|a pear|||梨||||12||HHD|竹竹木|21233.040|0531.140|791|75|||||
棄|qi4|reject, abandon, discard|弃||||4||12|0090.4|YITD|卜戈廿木|21237.070|0531.150|456|75||2173|forsake||
棅|bing3|handle, lever, knob; authority|||柄||||12||DHDL|木竹木中|21233.070|0531.200|1054|75|||||
棆|lun2|camphor tree|||||||12|4892.7|DOMB|木人一月|21235.030|0531.210||75|||||
棇|cong1||||||||12|4893.3|DCIP|木金戈心|21235.100|0531.220||75|||||
棈|qian4||||||||12|4592.7|DQMB|木手一月|21223.020|0531.230||75|||||
棉|mian2|cotton; cotton padded|||||5||12|4692.7|DHAB|木竹日月|21234.030|0531.240|897|75|6|386|cotton|418|cotton
棊|qi2|chess; any game similar to chess|||碁棋||||12|4490.4|TCD|廿金木|21224.050|0532.020|604|75|||||
棋|qi2|chess; any game similar to chess|||棊碁||4||12|4498.1|DTMC|木廿一金|21224.040|0532.030|604|75|5|2668|chess|2735|chess
棌|cai4||||||||12|5299.4|DBD|木月木|21234.090|0532.040||75|||||
棍|gun4|stick, cudgel; scoundrel|||||5||12|4691.1|DAPP|木日心心|21232.030|0532.050|728|75|6|1680|club|1709|club
棎|chan2||||||||12|4799.4|DBCD|木月金木|21239.100|0532.060||75|||||
棏|de2||||||||12||DAMI|木日一戈|21231.080|0532.070||75|||||
棐|fei3|species of yew|||榧||||12|1190.4|LYD|中卜木|21230.020|0532.080|365|75|||||
棑|pai2|raft|||篺||||12|4191.1|DLMY|木中一卜|21230.010|0532.090|365|75|||||
棒|bang4|stick, club, truncheon; hit|||||3||12|4595.3|DQKQ|木手大手|21222.090|0532.100|411|75|4|1174|cudgel|1235|cudgel
棓|bang4|hit, strike|||||||12|4096.1|DYTR|木卜廿口|21237.050|0532.110|1028|75|||||
棔|hun1||||||||12|4296.4|DHPA|木竹心日|21236.020|0532.120||75|||||
棕|zong1|hemp palm; palm tree|||㯶椶||5||12|4399.1|DJMF|木十一火|21238.070|0532.140|321|75|6|2108|palm tree|2167|palm tree
棖|cheng2|door stop, door jam; touch; a prop, post|枨||||||12|5193.2|DSMV|木尸一女|21223.050|0532.170|123|75|||||
棗|zao3|date tree; dates, jujubes; surname|枣||||||12|5090.2|DBDB|木月木月|21228.010|0532.180|161|75||1665|jujube||
棘|ji2|jujube tree; thorns, brambles|||||5||12|5599.2|DBDB|木月木月|21227.090|0532.200|161 613|75||1664|thorn bushes|1690|thorn bushes
棙|li4|obstinate; to draw the fingers across; to steer|||||||12||XDHSK|難木竹尸大|21239.060|0532.210||75|||||
棚|peng2|tent, awning; booth; shed|||||4||12|4792.0|DBB|木月月|21235.120|0533.020|1024|75||1542|shed|1561|shed
棛|yu4||||||||12||DYIB|木卜戈月|21238.010|0533.050||75|||||
棜|yu4|branch, fork; tray|||||||12|4893.3|DYSY|木卜尸卜|21237.030|0533.060|1601|75|||||
棝|gu4||||||||12|4690.0|DWJR|木田十口|21232.060|0533.070||75|||||
棞|jun4||||||||12|4690.0|DWHD|木田竹木|21232.080|0533.080||75|||||
棟|dong4|the main beams supporting a house|栋||||5||12|4599.6|DDW|木木田|21227.050|0533.100|1403|75||474|building||
棠|tang2|crab apple tree; wild plums|||||5||12|9090.4|FBRD|火月口木|21231.070|0533.140|1167|75|||||
棡|gang1||㭎||||||12|4792.0|DBTU|木月廿山|21232.100|0533.160||75|||||
棢|wang3|the felloe or rim of a wheel|||||||12||DBTV|木月廿女|21232.110|0533.170||75|||||
棣|di4|kerria japonica plant, cherry|||||||12|4593.2|DLE|木中水|21240.030|0533.180|1372|75|||||
棤|cuo4||||||||12|4496.1|DTA|木廿日|21225.010|0533.190||75|||||
棥|fan2|a railing; a fence an enclosed place|||樊||||12||DKKD|木大大木|21235.050|0533.200|341 776|75|||||
棦|cheng1||||||||10|5205.7|DBSD|木月尸木|21235.020|0533.210||75|||||
棧|zhan4|warehouse; tavern, inn|栈||||5||12|4395.3|DII|木戈戈|21229.080|0533.240|185|75|||||
棨|qi3|tally or wooden pass|||||||12|7890.4|HKD|竹大木|21239.070|0534.020|563|75|||||
棩|yuan1||||||||13|4290.0|DLXL|木中難中|21251.100|0534.030||75|||||
棪|yan3|tree|||||||12|4998.9|DFF|木火火|21238.050|0534.040|1568|75|||||
棫|yu4|thorny shrub with yellow flowers; a kind of oak|||||||12|4395.0|DIRM|木戈口一|21227.060|0534.050|1416|75|||||
棬|quan1|bowl|||||||12|4992.7|DFQU|木火手山|21238.020|0534.060|665|75|||||
棭|yi4||||||||12||DYOK|木卜人大|21236.120|0534.070||75|||||
森|sen1|forest; luxuriant vegetation|||||4||12|4099.4|DDD|木木木|21226.020|0534.110|1120|75|4|193|forest|204|forest
棯|ren3|jujube tree|||||||12|4893.2|DOIP|木人戈心|21235.080|0534.140||75|||||
棰|chui2||||槌||||12|4291.4|DHJM|木竹十一|21232.130|0534.150|1255|75|||||
棱|leng2|squared timber; angle, edge|||稜楞||||12|5404.7|DGCE|木土金水|21224.010|0534.160|810|75||||2348|edge
棲|qi1|perch; roost; stay|栖||栖||5||12|4594.4|DJLV|木十中女|21229.060|0534.170|55|75||2138|perch||
棳|zhuo1|small pillars that support the roof, those which rest on the main bean|||梲||||12|4794.7|DEEE|木水水水|21242.040|0534.180||75|||||
棴|fu2||||||||12|4794.7|DBSE|木月尸水|21235.110|0534.190||75|||||
棵|ke1|numerary adjunct for trees|||||5||12|4699.4|DWD|木田木|21232.010|0534.200|744|75|4|2118|flora|2180|flora
棶|lai2||梾||||||12|4499.8|DDOO|木木人人|21229.010|0534.240||75|||||
棷|zou1||||||||12|4794.0|DSJE|木尸十水|21224.070|0535.010|295|75|||||
棸|zou1|surname|||||||12|1790.4|SED|尸水木|21224.080|0535.020|295|75|||||
棹|zhao4|oar; boat|||桌櫂|卓|||12|4194.6|DYAJ|木卜日十|21231.030|0535.030|108|75|||||
棺|guan1|coffin|||||5||12|4397.7|DJRR|木十口口|21238.090|0535.040|760|75||2246|coffin|2311|coffin
棻|fen1|kind of wood from which perfume|||||||11|4490.4|TCSD|廿金尸木|21225.060|0535.060|353A|75|||||
棼|fen2|beams in the roof of a house confused, disordered|||||||12|4422.7|DDCSH|木木金尸竹|21226.060|0535.070|353|75|||||
棽|shen1||||||||12|4420.7|DDOIN|木木人戈弓|21226.050|0535.080||75|||||
棾|qing2||||||||12||DDBHN|木木月竹弓|21227.020|0535.100||75|||||
棿|ni2||||||||12||DHXU|木竹難山|21233.090|0535.110||75|||||
椀|wan3|bowl; cup; dish|||盌碗||||12|4391.2|DJNU|木十弓山|21239.020|0535.130|1622A|75|||||
椁|guo3|outer-coffin; vault||槨|槨||||12|4094.7|DYRD|木卜口木|21236.110|0535.150||75|||||
椂|lu4||||||||12||DVNE|木女弓水|21242.050|0535.160||75|||||
椃|hao2||||||||12||DYPU|木卜心山|21231.040|0535.170||75|||||
椄|jie1|to graft|||||||12|4094.4|DYTV|木卜廿女|21237.060|0535.200|206|75|||||
椅|yi3|chair, seat|||||4||12|4492.1|DKMR|木大一口|21228.090|0535.210|602|75|1|1548|chair|1566|chair
椆|chou2||||||||12|4792.0|DBGR|木月土口|21236.010|0535.230||75|||||
椇|ju3||||||||12|4698.1|DBMC|木月一金|21231.090|0535.250|677|75|||||
椈|ju2|cedar|||||||12|4792.0|DPFD|木心火木|21236.080|0536.010|680|75|||||
椉|cheng2||||||||12||YNQD|卜弓手木|21237.020|0536.030||75|||||
椊|zuo2|to fit a handle into a socket; a plug or cork|||||||12|4094.8|DYOJ|木卜人十|21237.010|0536.060||75|||||
椋|liang2|fruit|||||||12|4099.6|DYRF|木卜口火|21236.100|0536.070||75|||||
椌|qiang1|instrument|||||||12|4391.1|DJCM|木十金一|21239.010|0536.080|525|75|||||
植|zhi2|plant, trees, plants; grow|||||4||12|4491.6|DJBM|木十月一|21225.080|0536.100|171|75|4|194|plant|207|plant
椎|chui2|hammer, mallet; vertebra|||槌||5||12|4091.4|DOG|木人土|21233.100|0536.110|285|75|6||||
椏|ya1|the forking branch of a tree|桠||||5||12|4191.7|DMLM|木一中一|21224.030|0536.120|2|75|||||
椐|ju1||||||||12|4796.4|DSJR|木尸十口|21240.040|0536.130|671 672|75|||||
椑|bei1|oval|||||||12|4694.0|DHHJ|木竹竹十|21234.040|0536.140|1029|75|||||
椒|jiao1|pepper, spices|||||5||12|4794.0|DYFE|木卜火水|21230.030|0536.160|1259|75|5|1853|spice plant|1895|spice plant
椓|zhuo2|strike, hit, beat, hammer|||||||12|4192.3|DMSO|木一尸人|21229.040|0537.020|1323|75|||||
椔|zi1||||||||12|4296.0|DVVW|木女女田|21242.060 21247.010|0537.040|125|75|||||
椕|bin1||||||||12|4499.0|DCHD|木金竹木|21235.090|0537.090||75|||||
椖|peng2||||||||12||DISS|木戈尸尸|21239.080|0537.131||75|||||
椗|ding4||||||||12|4398.1|DJMO|木十一人|21238.080|0537.131|1342|75|||||
椘|chu3||||||||11||DDINO|木木戈弓人|21210.060|0537.131||75|||||
椙|chang1||||||||12|4696.0|DAA|木日日|21232.041|0537.131||75|||||
椚|men1|a kind of oak used for charcoal|||||||12|4792.0|DAN|木日弓|21240.031|0537.131||75|||||
椛|hua1|type of birch|||||||11|4491.4|DTOP|木廿人心|21210.042|0537.131||75|||||
検|jian3|check; examine|||||||12|4893.6|XDOMO|難木人一人|21235.031|0537.131||75|||||
椝|gui1|||槼|||||12||XQUD|難手山木|21223.041|0537.131||75|||||
椞|xi4||||||||12||DLD|木中木|21227.030|0537.131||75|||||
椟|du2|cabinet, wardrobe; closet||櫝|||||12|4498|DJNK|木十弓大|21228.040|0537.131||75|||||
椠|qian4|wooden tablet; edition||槧|||||12|5290|KLD|大中木|21229.070|0537.131||75|||||
椡|dao4||||||||12|4290.0|DMGN|木一土弓|21229.071|0537.131||75|||||
椢|gui4|||槶|||||12|4690.0|DWMI|木田一戈|21232.011|0537.131||75|||||
椣|dian3||||||||12|4598.1|DTBC|木廿月金|21232.051|0537.131||75|||||
椤|luo2|tree||欏|||||12|4692|DWLN|木田中弓|21232.070|0537.131|828|75|||||
椥|zhi1||||||||12|4690.0|DOKR|木人大口|21233.060|0537.131||75|||||
椦|quan5||||||||12|4992.7|DFQS|木火手尸|21235.021|0537.131||75|||||
椧|ming4|gutter|||||||12||DOML|木人一中|21235.032|0537.131||75|||||
椨|fu3||||||||12|4094.0|DIOI|木戈人戈|21236.131|0537.131||75|||||
椩|geng1||||||||12||DILO|木戈中人|21237.011|0537.131||75|||||
椪|peng4|Machilus nanmu, variety of evergreen|||||||12|4891.2|DTTC|木廿廿金|21238.030|0537.131||75|||||
椫|shan4|||樿|||||12||DCWJ|木金田十|21238.031|0537.131||75|||||
椬|yi2||||||||12||DJBM|木十月一|21238.081|0537.131||75|||||
椭|tuo3|oval-shaped, elliptical, tubular||橢|||||12|4492|XDNLB|難木弓中月|21240.090|0537.131||75|6||||
椮|sen1||||||||12||DIKH|木戈大竹|21242.021|0537.131|23|75|||||
椯|duo3||||||||13|4292.7|DUMB|木山一月|21250.080|0537.160||75|||||
椰|ye1|palm tree, coconut palm|||㭨||4||12|4792.7|DSJL|木尸十中|21224.060|0537.170|1520|75|||||
椱|fu4||||||||13||DOAE|木人日水|21251.030|0537.180||75|||||
椲|wei3||㭏||||||13|4595.6|DDMQ|木木一手|21257.050|0537.190||75|||||
椳|wei1|the pivots, at the top and bottom of a Chinese door, on which the door turns|||||||13|4693.2|DWMV|木田一女|21249.080|0537.210|1428|75|||||
椴|duan4|poplar, aspen|||||||13|4794.7|DHJE|木竹十水|21251.080|0537.230||75|||||
椵|jia3|pompelmous; canque (breech, rump, buttock)|||||||13|4794.7|DRYE|木口卜水|21257.020|0537.240||75|||||
椶|zong1|palm tree|||棕||||13|4294.7|DUCE|木山金水|21253.060|0537.260|320|75|||||
椷|jian1|box; casket; letter; envelope|||||||13|4395.0|DIHR|木戈竹口|21246.030|0537.270|419|75|||||
椸|yi2|rack|||||||13|4891.2|DYSD|木卜尸木|21254.150|0537.290|1168|75|||||
椹|shen4|a chopping board|||葚||||13|4491.1|DTMV|木廿一女|21243.030|0537.300|1123|75|||||
椺|xi2|beam of a house|||||||13||DORD|木人口木|21251.110|0538.010||75|||||
椻|yan4||||||||13|4191.4|DSAV|木尸日女|21245.020|0538.020||75|||||
椼|yan3||||||||13|4192.1|DHON|木竹人弓|21252.050|0538.040||75|||||
椽|chuan2|beams, rafters, supports|||||||13|4793.2|DVNO|木女弓人|21259.020|0538.050|1400|75|||||
椾|jian1||||||||13||DTBN|木廿月弓|21255.040|0538.060|196|75|||||
椿|chun1|father; a plant with white flowers|||||||13|4596.3|DQKA|木手大日|21242.080|0538.080|317|75|||||
楀|yu3|name of tree; surname|||||||13|4292.7|DHLB|木竹中月|21252.020|0538.090|1614|75|||||
楁|he2||||||||13|4396.4|DJHR|木十竹口|21256.030|0538.100||75|||||
楂|zha1|a raft, to hew, to fell trees|||揸槎||||13|4491.6|DDAM|木木日一|21244.050|0538.120|13|75|||||
楃|wo4||||||||13||DSMG|木尸一土|21257.030|0538.140||75|||||
楄|pian2|block|||||||13|4392.7|DHSB|木竹尸月|21256.050|0538.150|1042|75|||||
楅|bi1|wooden board|||||||13|4196.6|DMRW|木一口田|21245.040|0538.230|398|75|||||
楆|yao1||||||||13||DMWV|木一田女|21245.060|0538.250||75|||||
楇|huo4||||||||12||DBBR|木月月口|21250.050|0538.260||75|||||
楈|xu1||||||||13|4792.7|DNOB|木弓人月|21257.070|0538.270||75|||||
楉|ruo4||||||||12|4496.4|DTKR|木廿大口|21243.050|0538.290||75|||||
